Frame,Person_ID,Best_Match,Score
keyframe_64.jpg,3,A person wearing pants,0.7115
keyframe_64.jpg,1,A Necklace,0.5911
keyframe_65.jpg,2,A person wearing pants,0.6623
keyframe_65.jpg,3,A Saree,0.6186
keyframe_65.jpg,4,A person wearing pants,0.6035
keyframe_65.jpg,5,A person wearing pants,0.4291
keyframe_65.jpg,1,A t-shirt,0.2979
keyframe_66.jpg,6,A person wearing pants,0.9943
keyframe_66.jpg,2,A person wearing pants,0.9351
keyframe_66.jpg,4,A t-shirt,0.464
keyframe_66.jpg,5,A Necklace,0.4173
keyframe_66.jpg,1,A Necklace,0.32
keyframe_66.jpg,3,A person wearing pants,0.2787
keyframe_67.jpg,1,A Kurta,0.3922
keyframe_68.jpg,1,A Kurta,0.7404
keyframe_69.jpg,1,A Kurta,0.6522
keyframe_7.jpg,1,A Kurta,0.5579
keyframe_70.jpg,1,A Saree,0.5859
keyframe_70.jpg,2,A person wearing pants,0.4784
keyframe_71.jpg,4,A person wearing pants,0.9171
keyframe_71.jpg,3,A t-shirt,0.5017
keyframe_71.jpg,2,A Saree,0.4968
keyframe_71.jpg,1,A t-shirt,0.3721
keyframe_72.jpg,1,A Kurta,0.5732
keyframe_73.jpg,2,A person wearing pants,0.549
keyframe_73.jpg,4,A person wearing pants,0.4584
keyframe_73.jpg,3,A t-shirt,0.4363
keyframe_73.jpg,1,A Saree,0.338
keyframe_74.jpg,1,A Kurta,0.5522
keyframe_75.jpg,1,A Necklace,0.3241
keyframe_76.jpg,1,A Saree,0.2861
keyframe_77.jpg,1,A Necklace,0.3998
keyframe_78.jpg,1,A Necklace,0.3521
keyframe_79.jpg,1,A woman wearing a saree,0.2777
keyframe_8.jpg,1,A woman wearing a saree,0.372
keyframe_80.jpg,1,A Necklace,0.3209
keyframe_81.jpg,1,A Necklace,0.3722
keyframe_82.jpg,1,A person wearing pants,0.4288
keyframe_83.jpg,1,A Saree,0.3415
keyframe_84.jpg,1,A Necklace,0.4015
keyframe_85.jpg,1,A woman wearing a saree,0.3463
keyframe_86.jpg,1,A t-shirt,0.345
keyframe_87.jpg,1,A Necklace,0.3323
keyframe_88.jpg,1,A Necklace,0.6354
keyframe_89.jpg,1,A person wearing pants,0.8809
keyframe_89.jpg,4,A Saree,0.8182
keyframe_89.jpg,3,A Saree,0.7966
keyframe_89.jpg,2,A Saree,0.7499
keyframe_9.jpg,1,A Kurta,0.95
keyframe_90.jpg,2,A t-shirt,0.3159
keyframe_90.jpg,1,A Saree,0.2702
keyframe_91.jpg,1,A woman wearing a saree,0.2897
keyframe_92.jpg,1,A Saree,0.407
keyframe_93.jpg,1,A woman wearing a saree,0.4548
keyframe_94.jpg,1,A woman wearing a saree,0.4041
keyframe_95.jpg,1,A woman wearing a saree,0.272
keyframe_96.jpg,2,A Saree,0.7255
keyframe_96.jpg,1,A person wearing pants,0.6951
keyframe_97.jpg,1,A Saree,0.7421
keyframe_98.jpg,2,A Kurta,0.935
keyframe_98.jpg,1,A Saree,0.8915
keyframe_99.jpg,1,A Kurta,0.972
